rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
2,696,110.0,1,92,13,76.0
2,856,113.0,1,90,31,78.0
6,834,92.0,1,72,25,41.0
0,147,112.0,1,81,16,84.0
2,877,90.0,1,84,19,74.0
0,747,112.0,0,88,58,87.0
6,167,92.0,1,94,35,84.0
0,973,134.0,1,85,13,79.0
3,1025,114.0,0,85,61,78.0
3,229,114.0,1,60,30,38.0
3,292,117.0,1,79,24,75.0
3,341,92.0,1,80,5,53.0
6,712,113.0,1,92,24,79.0
3,995,123.0,1,79,14,59.0
6,951,111.0,2,50,12,44.0
2,626,118.0,1,100,10,77.0
3,160,118.0,1,60,5,63.0
2,160,101.0,1,100,9,80.0
2,447,91.0,1,67,6,71.0
3,618,90.0,0,90,70,85.0
3,217,107.0,1,75,20,55.0
6,1025,91.0,2,45,20,35.0
6,951,106.0,2,52,152,46.0
3,1042,102.0,2,29,14,36.0
6,279,95.0,2,20,5,45.0
6,1025,88.0,1,67,6,49.0
2,165,84.0,1,100,30,84.0
4,1035,91.0,1,62,13,30.0
3,681,171.0,1,88,17,73.0
3,689,128.0,1,94,17,87.0
6,0,105.0,2,25,12,28.0
2,716,146.0,1,83,6,72.0
4,951,128.0,2,50,16,77.0
3,712,115.0,0,100,66,95.0
4,0,114.0,2,46,24,65.0
6,160,106.0,1,67,24,37.0
6,706,136.0,0,96,57,92.0
4,334,89.0,2,15,26,28.0
3,557,151.0,1,67,12,91.0
3,320,109.0,2,52,33,71.0
6,293,123.0,2,38,16,54.0
6,782,117.0,2,57,14,38.0
6,752,99.0,0,96,47,72.0
6,327,114.0,2,37,43,66.0
0,41,83.0,2,54,28,81.0
6,301,103.0,0,89,64,84.0
3,752,94.0,1,80,25,75.0
3,1019,119.0,0,94,62,69.0
3,1006,138.0,1,94,36,74.0
2,380,53.0,1,95,20,84.0
4,334,100.0,2,44,18,32.0
6,195,107.0,1,60,20,59.0
6,742,81.0,1,100,11,69.0
0,641,113.0,1,92,37,89.0
2,160,97.0,1,100,10,86.0
0,689,128.0,1,63,8,58.0
6,1035,120.0,1,76,33,64.0
6,689,112.0,1,78,23,79.0
3,689,94.0,1,100,37,86.0
0,976,86.0,1,75,16,84.0
2,171,127.0,1,100,12,87.0
3,862,85.0,2,0,6,30.0
3,959,89.0,2,56,9,56.0
0,689,100.0,1,73,15,77.0
3,712,108.0,1,100,35,90.0
6,129,100.0,0,88,40,68.0
0,657,101.0,1,67,18,48.0
6,292,97.0,1,63,8,41.0
2,634,109.0,1,89,9,85.0
4,176,82.0,1,100,16,67.0
3,840,98.0,2,58,36,67.0
3,626,101.0,1,93,30,87.0
2,704,107.0,1,89,9,70.0
6,1025,88.0,2,28,18,39.0
6,807,103.0,1,67,6,85.0
3,246,113.0,1,80,20,71.0
3,862,97.0,2,57,7,69.0
2,302,117.0,1,80,5,61.0
6,752,102.0,2,38,16,56.0
0,379,75.0,0,88,42,80.0
2,632,84.0,1,100,5,31.0
3,327,121.0,1,79,39,83.0
3,987,98.0,2,10,10,91.0
4,160,184.0,0,95,57,87.0
3,863,111.0,0,90,41,
6,752,101.0,2,22,9,42.0
4,243,101.0,2,17,6,29.0
2,255,100.0,1,88,8,66.0
2,176,100.0,1,100,37,86.0
0,678,110.0,1,90,20,68.0
6,855,117.0,1,87,23,56.0
3,689,111.0,1,100,20,77.0
3,704,175.0,0,98,40,82.0
6,990,141.0,2,36,36,64.0
0,376,79.0,0,98,48,76.0
0,420,73.0,1,67,6,41.0
3,626,129.0,0,93,59,95.0
3,712,96.0,1,96,26,80.0
3,689,122.0,0,98,56,90.0
3,167,75.0,1,100,8,63.0
4,752,98.0,1,62,29,58.0
2,160,133.0,1,82,11,63.0
3,626,111.0,1,78,23,73.0
6,959,121.0,1,69,16,58.0
2,712,99.0,1,97,31,78.0
2,693,76.0,1,83,6,80.0
6,689,120.0,1,75,16,72.0
2,740,103.0,1,100,26,87.0
0,317,126.0,1,82,22,78.0
2,716,128.0,1,100,11,84.0
2,641,126.0,1,86,22,74.0
6,292,117.0,1,71,7,34.0
6,0,112.0,2,10,20,19.0
3,767,140.0,1,60,10,74.0
2,690,146.0,1,83,6,73.0
0,690,219.0,1,94,35,87.0
2,623,90.0,1,71,14,62.0
6,951,108.0,1,71,7,50.0
3,733,93.0,1,100,27,77.0
6,1042,87.0,1,88,24,59.0
2,689,95.0,1,96,23,71.0
