rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
PG,"Drama, Romance",165,Fresh,72,25,77
R,"Classics, Drama, Mystery & Suspense",97,Fresh,80,20,74
R,"Drama, Mystery & Suspense",120,Certified Fresh,75,48,71
G,"Classics, Comedy, Drama",93,Fresh,93,30,74
PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",111,Fresh,80,40,69
R,Comedy,110,Rotten,38,13,61
R,"Action & Adventure, Drama",128,Fresh,81,16,63
NR,"Action & Adventure, Classics, Drama",147,Fresh,90,21,81
G,"Action & Adventure, Classics, Drama, Kids & Family, Television",87,Rotten,40,5,49
NR,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",94,Fresh,95,39,71
R,"Drama, Horror, Science Fiction & Fantasy",96,Certified Fresh,92,60,83
NR,"Action & Adventure, Classics, Drama",101,Fresh,67,9,69
PG,"Drama, Musical & Performing Arts, Romance",107,Rotten,51,39,71
NR,"Action & Adventure, Art House & International, Classics",99,Fresh,100,9,86
R,"Action & Adventure, Drama, Mystery & Suspense",120,Certified Fresh,78,41,64
